,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold
1229,80,70.0,7910,5,5,1960,1960,0.0,666,0,409,1075,1507,0,0,1507,0,0,2,0,4,1,7,0,1960.0,1,404,0,0,0,0,0,0,0,8,2008
1230,90,0.0,18890,5,5,1977,1977,1.0,498,211,652,1361,1361,1259,0,2620,0,0,2,2,4,2,12,1,1977.0,2,600,155,24,145,0,0,0,8300,8,2007
1231,90,70.0,7728,5,6,1962,1962,120.0,803,0,303,1106,1190,0,0,1190,1,0,1,0,3,1,6,0,1962.0,2,540,0,18,0,0,0,0,0,5,2006
1232,90,70.0,9842,4,5,1962,1962,0.0,0,0,0,0,1224,0,0,1224,0,0,2,0,2,2,6,0,1962.0,2,462,0,0,0,0,0,0,0,3,2007
1233,20,0.0,12160,5,5,1959,1959,180.0,1000,0,188,1188,1188,0,0,1188,1,0,1,0,3,1,6,0,1959.0,2,531,0,0,0,0,0,0,0,5,2010
1234,70,55.0,8525,5,6,1911,1950,0.0,0,0,940,940,1024,940,0,1964,0,0,1,1,4,1,7,0,0.0,0,0,0,192,0,0,0,0,0,11,2008
1235,70,96.0,13132,5,5,1914,1950,0.0,0,0,747,747,892,892,0,1784,0,0,1,1,4,1,9,0,1914.0,1,180,203,40,0,0,0,0,0,7,2006
1236,160,36.0,2628,7,5,2003,2003,106.0,0,0,764,764,764,862,0,1626,0,0,2,1,2,1,6,0,2003.0,2,474,0,27,0,0,0,0,0,6,2010
1237,60,41.0,12393,7,5,2004,2005,0.0,0,0,847,847,847,1101,0,1948,0,0,2,1,4,1,8,1,2004.0,2,434,100,48,0,0,0,0,0,9,2006
1238,20,63.0,13072,6,5,2005,2005,0.0,0,0,1141,1141,1141,0,0,1141,0,0,1,1,3,1,6,0,2005.0,2,484,0,0,0,0,0,0,0,3,2006
1239,20,64.0,9037,8,5,2006,2006,32.0,428,0,1048,1476,1484,0,0,1484,0,0,2,0,2,1,6,1,2006.0,2,472,120,33,0,0,0,0,0,12,2007
1240,60,65.0,8158,7,5,2003,2003,252.0,550,0,334,884,884,884,0,1768,1,0,2,1,3,1,8,0,2003.0,2,543,0,63,0,0,0,0,0,7,2008
1241,20,83.0,9849,7,6,2007,2007,0.0,0,0,1689,1689,1689,0,0,1689,0,0,2,0,3,1,7,0,2007.0,3,954,0,56,0,0,0,0,0,6,2007
1242,85,85.0,10625,7,6,1974,1974,81.0,885,168,0,1053,1173,0,0,1173,1,0,2,0,3,1,6,2,1974.0,2,528,0,120,0,0,0,0,0,1,2010
1243,20,107.0,13891,10,5,2006,2006,0.0,1386,0,690,2076,2076,0,0,2076,1,0,2,1,2,1,7,1,2006.0,3,850,216,229,0,0,0,0,0,9,2006
1244,70,0.0,11435,8,7,1929,1950,0.0,0,0,792,792,792,725,0,1517,0,0,1,0,3,1,7,2,1931.0,2,400,0,0,0,0,0,0,0,6,2006
1245,80,78.0,12090,6,7,1984,2003,74.0,0,0,585,585,1140,728,0,1868,0,0,3,1,3,1,7,1,1984.0,2,477,268,112,0,0,147,0,0,1,2007
1246,60,65.0,8125,7,5,2005,2006,0.0,0,0,756,756,756,797,0,1553,0,0,2,1,3,1,6,0,2005.0,2,615,0,45,0,0,0,0,0,3,2006
1247,80,0.0,12328,6,5,1976,1976,335.0,539,0,473,1012,1034,0,0,1034,1,0,1,0,3,1,6,0,1976.0,3,888,0,0,0,0,0,0,0,5,2010
1248,75,60.0,9600,6,5,1917,1950,0.0,319,0,416,735,1134,924,0,2058,0,0,1,1,3,1,8,1,1950.0,2,396,0,0,259,0,0,0,0,4,2008
1249,20,60.0,7200,5,7,1950,1950,0.0,534,96,246,876,988,0,0,988,0,0,1,0,3,1,6,0,1950.0,1,276,0,80,0,0,0,0,0,5,2007
1250,20,93.0,11160,7,5,1968,1968,0.0,1065,0,1045,2110,2110,0,0,2110,1,0,2,1,3,1,8,2,1968.0,2,522,0,0,0,0,0,0,0,4,2010
1251,120,0.0,3136,7,5,2003,2003,163.0,0,0,1405,1405,1405,0,0,1405,0,0,2,0,2,1,6,1,2003.0,2,478,148,36,0,0,0,0,0,3,2006
1252,20,62.0,9858,5,6,1968,1968,0.0,510,0,354,864,874,0,0,874,1,0,1,0,3,1,5,0,1968.0,1,288,33,0,0,0,0,0,600,11,2009
1253,60,0.0,17542,7,7,1974,2003,0.0,125,1031,36,1192,1516,651,0,2167,1,0,2,1,3,1,9,2,1974.0,2,518,220,47,0,0,0,0,0,7,2007
1254,60,60.0,6931,7,5,2003,2004,92.0,0,0,746,746,760,896,0,1656,0,0,2,1,3,1,7,1,2003.0,2,397,178,128,0,0,0,0,0,7,2008
1255,50,52.0,6240,6,6,1931,1950,0.0,425,0,459,884,959,408,0,1367,0,0,1,0,3,1,6,1,1978.0,1,560,0,0,0,0,120,0,0,11,2007
1256,20,91.0,14303,8,5,1994,1994,554.0,1314,0,672,1986,1987,0,0,1987,1,0,2,0,2,1,7,1,1994.0,2,691,262,36,0,0,0,0,0,8,2008
1257,30,56.0,4060,5,8,1922,1950,0.0,0,0,864,864,864,0,0,864,0,0,1,0,2,1,4,0,0.0,0,0,0,96,0,0,0,0,0,7,2009
1258,80,59.0,9587,7,5,2005,2005,182.0,655,0,201,856,1166,0,0,1166,1,0,2,0,2,1,5,0,2005.0,2,400,212,0,0,0,0,0,0,7,2008
1259,20,65.0,9750,6,8,1969,1969,0.0,602,438,14,1054,1054,0,0,1054,1,0,1,1,3,1,6,0,1969.0,2,460,180,0,0,0,80,0,0,7,2008
1260,60,0.0,24682,6,5,1999,1999,0.0,0,0,841,841,892,783,0,1675,0,0,2,1,3,1,7,1,1999.0,2,502,0,103,0,0,0,0,0,6,2009
1261,20,80.0,9600,5,6,1956,1956,0.0,504,0,546,1050,1050,0,0,1050,0,0,1,0,2,1,5,0,1956.0,1,338,0,0,0,0,0,0,0,6,2009
1262,50,0.0,11250,4,5,1957,1989,0.0,0,0,1104,1104,1104,684,0,1788,1,0,1,0,5,1,8,2,1957.0,1,304,120,0,0,0,0,0,0,11,2009
1263,70,60.0,13515,6,6,1919,1950,0.0,0,0,764,764,1060,764,0,1824,0,0,1,0,3,1,8,1,1940.0,2,520,0,0,126,0,0,0,0,7,2007
1264,120,34.0,4060,6,5,1998,1999,0.0,266,0,1139,1405,1337,0,0,1337,1,0,2,0,2,1,5,0,1998.0,2,511,144,68,0,0,0,0,0,8,2008
1265,160,35.0,3735,7,5,1999,1999,218.0,450,0,241,691,713,739,0,1452,1,0,2,1,3,1,6,0,1999.0,2,506,0,34,0,0,0,0,0,3,2006
1266,190,60.0,10120,7,4,1910,1950,0.0,0,0,925,925,964,925,0,1889,0,0,1,1,4,2,9,1,1960.0,1,308,0,0,264,0,0,0,0,1,2007
1267,20,89.0,13214,9,5,2008,2009,0.0,0,0,2002,2002,2018,0,0,2018,0,0,2,0,3,1,10,1,2009.0,3,746,144,76,0,0,0,0,0,5,2010
1268,50,0.0,14100,8,9,1935,1997,632.0,192,0,536,728,1968,1479,0,3447,0,0,3,1,4,1,11,2,1982.0,3,1014,314,12,0,0,0,0,0,5,2008
1269,50,78.0,11344,5,5,1958,1958,180.0,460,0,414,874,874,650,0,1524,0,0,1,1,3,1,7,0,1958.0,1,315,0,0,0,0,0,0,0,7,2007
1270,40,0.0,23595,7,6,1979,1979,0.0,1258,0,74,1332,1332,192,0,1524,2,0,0,1,0,1,4,1,1979.0,2,586,268,0,0,0,0,0,0,4,2010
1271,20,0.0,9156,6,7,1968,1968,0.0,0,0,1489,1489,1489,0,0,1489,0,0,2,0,3,1,7,1,1968.0,2,462,0,0,0,0,0,0,0,8,2009
1272,20,0.0,13526,5,6,1965,1965,114.0,560,375,0,935,935,0,0,935,1,0,1,0,3,1,5,0,1965.0,1,288,180,0,0,0,0,0,0,11,2006
1273,80,124.0,11512,6,7,1959,2006,84.0,719,0,300,1019,1357,0,0,1357,1,0,1,0,2,1,5,1,1959.0,1,312,0,0,0,0,163,0,0,5,2008
1274,50,53.0,5362,5,6,1910,2003,0.0,0,0,661,661,661,589,0,1250,0,0,2,0,3,1,8,1,1985.0,2,552,242,0,81,0,0,0,0,11,2007
1275,90,95.0,11345,5,5,1948,1950,567.0,220,0,708,928,928,992,0,1920,0,0,2,0,4,2,10,0,1948.0,2,400,0,0,0,0,0,0,0,7,2007
1276,60,0.0,12936,6,6,1972,1972,0.0,593,0,130,723,735,660,0,1395,0,1,1,1,3,1,6,1,1972.0,2,497,294,116,0,0,0,0,0,12,2009
1277,80,0.0,17871,6,5,1967,1976,359.0,528,0,1152,1680,1724,0,0,1724,1,0,1,1,3,1,7,1,1967.0,2,480,0,0,0,0,0,0,0,6,2009
1278,60,75.0,9473,8,5,2002,2002,0.0,804,0,324,1128,1128,903,0,2031,1,0,2,1,3,1,7,1,2002.0,2,577,0,211,0,0,0,0,0,3,2008
1279,50,60.0,7500,4,4,1920,1950,0.0,0,0,698,698,698,430,0,1128,0,0,1,0,2,1,6,0,1980.0,2,528,30,0,164,0,0,0,0,4,2010
1280,20,67.0,9808,7,5,2002,2002,110.0,788,0,785,1573,1573,0,0,1573,1,0,2,0,3,1,6,0,2002.0,2,544,0,72,0,0,0,0,0,3,2009
1281,20,50.0,8049,7,5,1990,1990,54.0,1053,0,256,1309,1339,0,0,1339,1,0,2,0,2,1,6,1,1990.0,2,484,0,58,0,0,90,0,0,7,2006
1282,20,61.0,8800,5,7,1977,2008,0.0,532,144,364,1040,1040,0,0,1040,0,0,2,0,3,1,5,0,1977.0,2,484,0,0,0,0,288,0,0,9,2009
1283,90,94.0,9400,6,5,1971,1971,0.0,0,0,912,912,912,912,0,1824,0,0,2,2,4,2,8,0,0.0,0,0,128,0,0,0,0,0,0,4,2010
1284,50,50.0,9638,6,7,1919,1990,0.0,0,0,804,804,1699,748,0,2447,0,0,2,0,4,1,10,1,1969.0,1,336,272,0,42,0,116,0,0,3,2010
1285,50,50.0,6000,6,6,1939,1950,0.0,0,0,780,780,825,587,0,1412,0,0,1,0,4,1,6,1,1939.0,1,280,45,0,0,0,0,0,0,5,2009
1286,20,0.0,9790,6,5,1963,1963,451.0,569,81,678,1328,1328,0,0,1328,1,0,1,1,3,1,6,2,1963.0,2,528,0,26,0,0,0,0,0,6,2010
1287,20,0.0,36500,5,5,1964,1964,621.0,812,0,812,1624,1582,0,0,1582,0,1,2,0,4,1,7,0,1964.0,2,390,168,198,0,0,0,0,0,6,2006
1288,120,40.0,5664,8,5,2000,2000,0.0,1158,0,343,1501,1659,0,0,1659,1,0,2,0,2,1,5,1,2000.0,2,499,212,59,0,0,0,0,0,10,2009
1289,60,86.0,11065,8,5,2006,2006,788.0,0,0,1085,1085,1120,850,0,1970,0,0,2,1,3,1,8,1,2006.0,3,753,177,74,0,0,0,0,0,10,2006
1290,80,0.0,14112,5,7,1964,1964,86.0,1014,0,138,1152,1152,0,0,1152,1,0,1,0,3,1,6,1,1964.0,2,484,227,0,0,0,0,0,0,4,2010
1291,160,21.0,1680,5,7,1972,1972,268.0,231,0,399,630,630,672,0,1302,0,0,2,1,3,1,6,0,1972.0,1,264,185,0,0,0,0,0,0,2,2009
1292,70,60.0,6600,5,4,1892,1965,0.0,0,0,994,994,1378,994,0,2372,0,0,2,0,4,2,11,0,1985.0,1,432,0,287,0,0,0,0,0,12,2009
1293,60,78.0,10140,7,5,1976,1976,0.0,194,0,638,832,832,832,0,1664,0,0,2,1,4,1,8,1,1976.0,2,528,0,28,0,0,259,0,0,3,2006
1294,20,60.0,8172,5,7,1955,1990,0.0,167,0,697,864,864,0,0,864,1,0,1,0,2,1,5,0,1957.0,2,572,0,0,0,0,0,0,0,4,2006
1295,20,70.0,8400,5,5,1968,1968,168.0,1016,0,36,1052,1052,0,0,1052,1,0,1,1,3,1,5,0,1968.0,1,288,356,0,0,0,0,0,0,11,2006
1296,20,80.0,8700,5,6,1963,1963,148.0,776,0,344,1120,1128,0,0,1128,1,0,2,0,3,1,6,0,1963.0,2,525,192,20,123,0,0,0,0,12,2008
1297,180,35.0,3675,6,5,2005,2006,82.0,547,0,0,547,1072,0,0,1072,1,0,2,0,2,1,5,0,2005.0,2,525,0,44,0,0,0,0,0,6,2006
1298,60,313.0,63887,10,5,2008,2008,796.0,5644,0,466,6110,4692,950,0,5642,2,0,2,1,3,1,12,3,2008.0,2,1418,214,292,0,0,0,480,0,1,2008
1299,20,75.0,7500,5,7,1959,1994,0.0,340,906,0,1246,1246,0,0,1246,1,0,1,1,3,1,6,0,1959.0,1,305,218,0,0,0,0,0,0,5,2010
1300,60,0.0,10762,7,5,1999,1999,344.0,694,0,284,978,1005,978,0,1983,0,0,2,1,3,1,9,1,1999.0,2,490,0,0,0,0,0,0,0,5,2009
1301,70,0.0,7500,6,7,1942,1950,0.0,547,0,224,771,753,741,0,1494,0,0,1,0,3,1,7,2,1942.0,1,213,0,0,0,0,224,0,0,11,2009
1302,60,92.0,10120,8,5,1994,1994,391.0,740,0,425,1165,1203,1323,0,2526,1,0,2,1,4,1,8,1,1994.0,3,844,309,78,0,0,0,0,0,12,2006
1303,20,73.0,8688,7,5,2005,2005,228.0,0,0,1616,1616,1616,0,0,1616,0,0,2,0,3,1,7,0,2005.0,3,834,208,59,0,0,0,0,0,4,2006
1304,160,32.0,3363,7,5,2004,2004,117.0,0,0,976,976,976,732,0,1708,0,0,2,0,3,1,7,0,2004.0,2,380,0,40,0,0,0,0,0,4,2006
1305,20,108.0,13173,9,5,2006,2007,300.0,1572,0,80,1652,1652,0,0,1652,1,0,2,0,2,1,6,2,2006.0,2,840,404,102,0,0,0,0,0,11,2009
1306,120,48.0,6955,7,5,2005,2006,94.0,0,0,1368,1368,1368,0,0,1368,0,0,2,0,2,1,6,1,2005.0,2,474,132,35,0,0,0,0,0,9,2006
1307,20,60.0,8072,5,5,1994,1995,0.0,746,0,244,990,990,0,0,990,1,0,1,0,3,1,5,0,2000.0,2,480,0,64,0,0,0,0,0,5,2009
1308,20,100.0,12000,5,7,1948,2005,0.0,144,608,172,924,1122,0,0,1122,1,0,1,0,2,1,6,0,1948.0,2,528,0,36,0,0,0,0,0,5,2008
1309,20,0.0,7153,6,5,1991,1991,88.0,1200,0,78,1278,1294,0,0,1294,1,0,2,0,3,1,6,0,1991.0,2,496,112,51,0,0,0,0,0,6,2008
1310,20,100.0,17500,7,8,1959,2002,0.0,1406,0,496,1902,1902,0,0,1902,1,0,2,0,3,1,7,2,1959.0,2,567,0,207,162,0,0,0,0,5,2010
1311,20,68.0,8814,7,5,2005,2007,80.0,925,0,349,1274,1274,0,0,1274,1,0,2,0,3,1,6,0,2005.0,2,508,264,98,0,0,0,0,0,1,2007
1312,60,0.0,9572,8,5,1990,1990,336.0,482,0,971,1453,1453,1357,0,2810,0,0,2,1,4,1,9,1,1990.0,2,750,500,0,0,0,0,0,0,6,2007
1313,60,108.0,14774,9,5,1999,1999,165.0,0,0,1393,1393,1422,1177,0,2599,0,0,2,1,4,1,10,1,1999.0,3,779,668,30,0,0,0,0,0,5,2010
1314,20,60.0,8190,4,6,1954,1954,0.0,732,0,216,948,948,0,0,948,1,0,1,0,3,1,5,1,1956.0,1,280,0,36,0,0,0,0,0,10,2007
1315,60,85.0,11075,6,5,1969,1969,0.0,500,276,176,952,1092,1020,0,2112,0,0,2,1,4,1,9,2,1969.0,2,576,280,0,0,0,0,0,0,6,2008
1316,20,61.0,10226,8,5,2008,2008,270.0,0,0,1622,1622,1630,0,0,1630,1,0,2,0,3,1,8,1,2008.0,3,860,172,42,0,0,0,0,0,1,2009
1317,120,47.0,4230,7,5,2006,2007,0.0,0,0,1352,1352,1352,0,0,1352,0,0,2,0,2,1,5,1,2006.0,2,466,0,241,0,0,0,0,0,4,2007
1318,20,0.0,14781,8,5,2001,2002,178.0,0,0,1753,1753,1787,0,0,1787,0,0,2,0,3,1,7,1,2001.0,3,748,198,150,0,0,0,0,0,8,2006
1319,20,75.0,10215,4,5,1954,1954,132.0,492,0,372,864,948,0,0,948,0,0,1,0,3,1,5,0,1954.0,1,248,0,0,0,0,0,0,0,2,2007
1320,20,70.0,8400,6,3,1957,1957,0.0,189,661,628,1478,1478,0,0,1478,1,0,1,1,3,1,6,2,1957.0,2,442,114,0,0,0,216,0,0,6,2009
1321,20,0.0,6627,3,6,1949,1950,0.0,0,0,0,0,720,0,0,720,0,0,1,0,2,1,4,0,1955.0,1,287,0,0,0,0,0,0,0,7,2008
1322,60,107.0,10186,7,5,1992,1992,0.0,674,0,76,750,1061,862,0,1923,1,0,2,1,3,1,8,1,1992.0,2,564,240,39,0,0,0,0,0,6,2010
1323,30,50.0,5330,4,7,1940,1950,0.0,280,0,140,420,708,0,0,708,0,0,1,0,2,1,5,0,0.0,0,0,164,0,0,0,0,0,0,12,2009
1324,20,75.0,9986,8,5,2006,2007,428.0,0,0,1795,1795,1795,0,0,1795,0,0,2,0,2,1,7,1,2007.0,3,895,0,49,0,0,0,0,0,2,2007
1325,30,40.0,3636,4,4,1922,1950,0.0,0,0,796,796,796,0,0,796,0,0,1,0,2,1,5,0,0.0,0,0,0,0,100,0,0,0,0,1,2008
1326,30,70.0,4270,3,6,1931,2006,0.0,544,0,0,544,774,0,0,774,0,0,1,0,3,1,6,0,0.0,0,0,0,0,286,0,0,0,0,5,2007
1327,20,60.0,6600,5,9,1982,2008,0.0,641,0,175,816,816,0,0,816,0,1,1,0,3,1,5,1,1982.0,1,264,0,0,0,0,0,0,0,10,2008
1328,50,60.0,10440,6,7,1920,1950,0.0,493,0,1017,1510,1584,1208,0,2792,0,0,2,0,5,1,8,2,1920.0,2,520,0,547,0,0,480,0,1150,6,2008
1329,60,63.0,9084,7,5,1998,1998,0.0,0,0,935,935,955,677,0,1632,0,0,2,1,3,1,8,1,1998.0,2,462,0,28,0,0,0,0,0,6,2006
1330,20,85.0,10000,8,5,2006,2006,410.0,0,0,1588,1588,1588,0,0,1588,0,0,2,0,3,1,7,1,2006.0,3,825,144,45,0,0,0,0,0,12,2007
1331,80,55.0,10780,5,5,1976,1976,0.0,483,0,428,911,954,0,0,954,0,0,1,0,3,1,6,0,1976.0,2,576,0,0,0,0,0,0,0,7,2006
1332,20,67.0,8877,4,6,1938,1958,0.0,690,0,126,816,816,0,0,816,1,0,1,0,2,1,3,1,1958.0,1,288,0,0,0,0,0,0,0,5,2009
1333,50,60.0,7200,5,6,1938,1995,0.0,0,0,803,803,803,557,0,1360,0,0,1,1,2,1,6,0,1951.0,1,297,0,65,190,0,0,0,0,7,2006
1334,160,24.0,2368,5,6,1970,1970,312.0,765,0,0,765,765,600,0,1365,0,0,1,1,3,1,7,0,1970.0,2,440,0,36,0,0,0,0,0,5,2009
1335,20,80.0,9650,6,5,1977,1977,360.0,686,0,664,1350,1334,0,0,1334,0,1,2,0,2,1,6,1,1977.0,2,630,0,16,0,0,0,0,0,4,2009
1336,90,87.0,9246,5,5,1973,1973,564.0,0,0,1656,1656,1656,0,0,1656,0,0,2,0,4,2,8,0,1973.0,2,506,0,211,0,0,0,0,0,11,2008
1337,30,153.0,4118,4,4,1941,1950,0.0,0,0,693,693,693,0,0,693,0,0,1,0,2,1,4,0,0.0,0,0,0,20,0,0,0,0,0,3,2006
1338,60,95.0,13450,7,5,2002,2002,0.0,700,0,216,916,920,941,0,1861,1,0,2,1,3,1,8,0,2002.0,2,492,146,91,0,0,0,0,0,6,2006
1339,20,120.0,9560,5,7,1972,1972,0.0,360,0,504,864,864,0,0,864,0,0,1,0,3,1,5,0,1972.0,1,288,0,0,0,0,0,0,0,6,2006
1340,20,70.0,8294,4,5,1971,1971,0.0,0,0,858,858,872,0,0,872,0,0,1,0,3,1,5,0,1974.0,4,480,0,0,0,0,0,0,0,6,2007
1341,20,66.0,13695,6,5,2003,2004,0.0,814,0,300,1114,1114,0,0,1114,1,0,1,0,3,1,6,0,2004.0,2,576,0,78,0,0,0,0,0,7,2008
1342,60,0.0,9375,8,5,2002,2002,149.0,0,0,1284,1284,1284,885,0,2169,0,0,2,1,3,1,7,1,2002.0,2,647,192,87,0,0,0,0,0,8,2007
1343,50,57.0,7558,6,6,1928,1950,0.0,0,0,896,896,1172,741,0,1913,0,0,1,1,3,1,9,1,1929.0,2,342,0,0,0,0,0,0,0,3,2009
1344,60,85.0,11103,7,5,2006,2006,0.0,0,0,728,728,728,728,0,1456,0,0,2,1,3,1,8,1,2006.0,2,440,0,0,0,0,0,0,0,7,2007
1345,30,50.0,6000,4,4,1920,1950,0.0,250,0,710,960,960,0,0,960,0,0,1,0,2,1,5,0,1997.0,1,308,0,0,168,0,0,0,0,7,2007
1346,20,0.0,20781,7,7,1968,2003,0.0,297,68,1203,1568,2156,0,0,2156,0,0,2,0,3,1,9,1,1968.0,2,508,0,80,0,290,0,0,0,6,2006
1347,20,93.0,15306,8,5,2006,2007,100.0,80,0,1652,1732,1776,0,0,1776,1,0,2,0,3,1,7,1,2006.0,3,712,0,0,0,0,0,0,0,5,2007
1348,20,0.0,16196,7,5,1998,1998,0.0,1443,0,39,1482,1494,0,0,1494,1,0,2,0,3,1,5,1,1998.0,2,514,402,25,0,0,0,0,0,8,2007
1349,70,50.0,5250,8,5,1872,1987,0.0,259,0,425,684,938,1215,205,2358,0,0,2,0,4,1,8,0,0.0,0,0,0,54,20,0,0,0,0,12,2008
1350,90,91.0,11643,5,5,1969,1969,368.0,500,0,748,1248,1338,1296,0,2634,1,1,2,2,6,2,12,0,1969.0,4,968,0,0,0,0,0,0,0,8,2009
1351,60,70.0,9247,6,6,1962,1962,318.0,319,0,539,858,858,858,0,1716,0,0,1,1,4,1,8,1,1962.0,2,490,0,84,0,0,120,0,0,3,2008
